max_P,utility,inertia,reliability,center_0,radius_0,weight_0,center_1,radius_1,weight_1,center_2,radius_2,weight_2
0.27774264028780105,0.5282676447933915,0.5503030303030308,1.0,0.6012422972391773,1.883788003488911,0.3846736356507603,0.17159081866254045,1.145669129343492,0.04292022663025187,0.2827008238686513,0.09331632343762884,0.5724061377189877
2.2840886424642095,1.7261428204523108,0.9872727272727271,0.07030000000000008,0.8385255077461087,1.9577825446931667,0.36905607729026485,0.5093372741913316,1.3820115576243561,0.29654581470444097,0.39276080551395537,0.059073032488668575,0.3343981080052942
2.2836108719368386,1.7223881316445377,0.9828282828282825,0.07000000000000009,0.7289835514250538,1.9394744388156937,0.35619783945162115,0.18630507295558205,0.9944657242813529,0.27105763671578026,0.25918861556485956,0.03180706817201086,0.37274452383259854
0.09112467133461064,0.17293478451127495,0.9898989898989897,1.0,0.36462160523999243,1.70777101433917,0.11824083452771462,0.11423846093054266,1.1003866426006852,0.6026479000343001,-0.3152014048919711,1.8402688132211353,0.27911126543798515
2.2836223389150527,1.7293478451127475,0.9898989898989897,0.07000000000000009,0.3219650730908534,0.41392102265223873,0.39480198846558245,-0.42466345468547884,0.6183783022470144,0.35827066774090466,1.9798286977861776,1.1526482189681289,0.24692734379351297
0.11278604951721637,0.26483705993815915,0.9898989898989897,1.0,0.7829082615444705,1.9980511131502734,0.3696252619175316,0.6169452249931533,1.0711581041345968,0.00480955110366562,0.2545456002318859,1.9150631409995134,0.6255651869788028
1.890733495449855,1.4431481617208386,0.9157575757575753,0.2639999999999997,0.40552939373712094,1.8723286283966403,0.24152281347812338,0.5827323175219461,1.3958281001564568,0.0900736299654213,0.33191139046818624,0.06501386950865114,0.6684035565564553
0.7521431964024696,0.8119102998868777,0.661414141414142,0.7717,0.776288627870654,1.9753043907721664,0.3298668425392183,0.5838906586257947,1.4236986432884444,0.28958782734699573,0.25868614697316855,0.059073032488668575,0.38054533011378605
0.9771643600225082,0.9339366656830127,0.7466666666666671,0.6730000000000002,0.709577167727984,1.960364006303491,0.3207881244642853,-0.03533002643887587,0.9700018746898589,0.28845565079617297,0.2601990625725963,0.05900814443057288,0.39075622473954175
1.8179283916003552,1.3494881953756488,0.9046464646464645,0.32479999999999976,0.7557582281090235,1.8818879362399672,0.01042904307172873,0.5814511395517449,1.3020928086591663,0.17113780544015791,0.3357446054705894,0.05919171667025295,0.8184331514881134
1.591179233693393,1.2867430800187447,0.8629292929292929,0.3946999999999996,0.7881061201408089,1.9498554358491909,0.30703762482186536,0.024038112674620193,1.1393042009059324,0.1460504067585413,0.2586956795174487,0.05909273442772779,0.5469119684195933
1.44726907534444,1.2008503947652323,0.824040404040404,0.4607999999999997,0.7815533276163311,1.963815968837099,0.5075911251432992,0.5289367110394206,1.300308155139469,0.20694012367463485,0.25913907394910574,0.050120117779204235,0.285468751182066
0.7115705891899246,0.789814993146715,0.6568686868686874,0.7898000000000002,0.776288627870654,1.9753043907721664,0.3185321279147996,0.5838906586257947,1.4324013409685639,0.2796371595065523,0.25868614697316855,0.059073032488668575,0.40183071257864794
0.40618874976421765,0.6182613959334521,0.6441414141414146,0.9269000000000002,0.7824570179767184,1.9358582938380307,0.3246482331522923,0.1458801127254109,0.8839348637594295,0.2570895857177944,0.25923471219482774,0.059090744994170996,0.41826218112991326
0.7754448198651095,0.824359201916865,0.6981818181818186,0.7625,0.8208276951241115,1.9588363014248635,0.3374118333660538,0.631809323045333,1.377410981257653,0.187363271427013,0.26061350214458834,0.059109665539130454,0.4752248952069331
0.6737654086863322,0.7657297912849883,0.6933333333333337,0.8085,0.6474884580143913,1.8543579642887171,0.389043836819338,-0.03533002643887587,0.9426552820959614,0.14619408974334117,0.2600569001707239,0.05900814443057288,0.4647620734373209
0.5676682919530497,0.7065167036823596,0.6819191919191921,0.8552000000000001,0.8018708227587782,1.6249859678859986,0.29215527721408713,0.22363690110183326,0.6648871214023552,0.33062133569742264,0.2591672523032383,0.05919262493089263,0.37722338708849024
0.20365663244145638,0.4811424982246482,0.9797979797979793,1.0,0.7829069116756485,1.9681366514456635,0.321575793335417,0.11513027325302105,0.9356585736075187,0.15477613199995144,0.25869059130311145,0.23200076044062387,0.5236480746646314
0.8576275429494274,0.8707532811410297,0.7221212121212126,0.7258,0.8417938015672513,1.958024093099624,0.30034257559507,0.11806080491216397,1.0574987983971413,0.3638696992363399,0.2601334658095672,0.05102328079551567,0.33578772516859007
